month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,rh_extremes_minimum,mean_rh,mean_sunshine_hrs,mean_temp,temp_mean_daily_max,temp_mean_daily_min
1994-11,178.3,21,322.2,58,88.4,4.5,26.7,30.5,24.0
1994-12,133.8,18,425.4,58,85.5,5.3,26.9,30.7,24.1
1995-01,108.3,21,349.4,59,86.2,5.0,26.8,30.6,24.1
1995-02,159.3,16,334.0,60,87.5,4.9,26.5,29.9,23.9
1995-03,31.1,10,67.7,54,83.9,5.9,27.6,31.8,24.6
1995-04,73.6,16,242.3,53,85.3,5.6,27.9,32.0,25.0
1995-05,32.8,11,84.4,54,83.7,6.0,28.5,32.3,25.6
1995-06,45.0,12,63.7,51,81.9,6.6,28.9,32.7,25.8
1995-07,52.3,13,173.6,58,82.6,5.2,28.0,31.2,25.2
1995-08,37.9,21,211.6,58,85.6,4.1,27.4,30.6,24.6
1995-09,5.7,7,29.5,51,81.6,5.8,28.3,32.0,25.1
1995-10,37.1,12,101.1,45,82.8,4.7,27.8,32.1,24.8
1995-11,198.6,20,372.8,51,86.8,3.7,27.0,31.0,24.1
1995-12,55.6,20,302.5,58,86.6,3.1,26.3,29.5,23.9
1996-01,39.0,10,173.2,54,84.2,5.2,26.2,30.1,23.4
1996-02,53.0,11,180.2,52,84.6,5.8,26.5,30.2,24.0
1996-03,61.8,8,129.7,50,81.0,7.7,27.8,32.4,24.5
1996-04,55.7,15,178.2,56,85.5,5.4,27.8,31.7,24.9
1996-05,18.6,15,107.5,55,83.7,7.0,28.5,32.4,25.2
1996-06,94.3,15,265.8,56,84.3,5.9,28.3,32.0,25.3
1996-07,55.3,10,162.3,52,81.9,6.7,28.3,31.5,25.4
1996-08,64.6,18,258.4,50,83.4,5.0,27.4,31.4,24.3
1996-09,66.5,18,297.0,52,82.2,4.8,27.7,31.1,24.6
1996-10,45.8,19,300.0,52,83.0,4.3,27.5,31.2,24.4
1996-11,60.5,16,180.2,43,83.5,4.4,27.3,31.5,24.6
1996-12,72.4,15,185.5,55,82.9,4.5,26.6,30.7,23.9
1997-01,13.9,3,15.4,48,77.3,7.7,27.1,31.5,24.0
1997-02,35.7,8,105.4,52,80.8,4.9,27.4,31.9,24.5
1997-03,17.4,10,34.3,44,79.6,7.0,28.1,32.8,24.9
1997-04,44.6,12,118.4,46,82.7,5.6,28.1,32.5,25.0
1997-05,35.6,6,41.6,49,77.7,6.7,29.3,33.6,26.3
1997-06,25.0,12,78.9,49,76.7,7.3,29.3,33.2,26.0
